City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Codrington,AU,2021-08-08 21:04:10,-38.2667,141.9667,44.78,76,100,10.4
148,Kavaratti,IN,2021-08-08 21:05:01,10.5669,72.642,79.61,83,100,19.19
149,Yelizovo,RU,2021-08-08 21:07:20,53.1873,158.3805,51.94,93,75,6.71
150,Iwanai,JP,2021-08-08 21:07:20,42.9744,140.5089,73.04,97,100,3.13
151,Doha,QA,2021-08-08 21:04:43,25.2867,51.5333,94.98,79,1,8.05
152,Santa Isabel Do Rio Negro,BR,2021-08-08 21:07:21,-0.4139,-65.0192,80.35,75,83,0.83
153,Isangel,VU,2021-08-08 21:04:59,-19.55,169.2667,70.36,70,100,14.16
154,Port Augusta,AU,2021-08-08 21:07:21,-32.5,137.7667,43.7,69,0,5.5
155,Mocuba,MZ,2021-08-08 21:07:22,-16.8392,36.9856,61.81,89,0,1.45
156,Chapais,CA,2021-08-08 21:03:24,49.7834,-74.8492,74.34,28,92,7.78
157,Broome,US,2021-08-08 21:07:22,42.2506,-75.833,88.02,59,20,1.01
158,Torbay,CA,2021-08-08 21:03:19,47.6666,-52.7314,58.87,91,99,5.01
159,Makanya,TZ,2021-08-08 21:07:22,-4.3667,37.8333,66.0,76,27,4.0
160,Alyangula,AU,2021-08-08 21:05:00,-13.8483,136.4192,69.35,85,7,9.26
161,Narsaq,GL,2021-08-08 21:01:24,60.9167,-46.05,52.02,63,9,10.36
162,Eucaliptus,BO,2021-08-08 21:07:23,-17.5833,-67.5167,59.14,19,21,10.33
163,Sisophon,KH,2021-08-08 21:07:23,13.5859,102.9737,77.94,87,89,5.88
164,Beringovskiy,RU,2021-08-08 21:05:30,63.05,179.3167,43.61,87,100,19.77
165,Lang Suan,TH,2021-08-08 21:07:24,9.9456,99.0785,77.52,90,79,3.67
166,Bethel,US,2021-08-08 21:04:12,41.3712,-73.414,82.74,73,1,5.75
167,Lebu,CL,2021-08-08 21:03:54,-37.6167,-73.65,48.61,70,8,7.74
168,Chara,RU,2021-08-08 21:07:24,56.9064,118.2631,59.41,82,100,1.07
169,Khandyga,RU,2021-08-08 21:07:24,62.6667,135.6,61.84,57,11,0.74
170,Fukue,JP,2021-08-08 21:07:25,32.6881,128.8419,80.91,78,62,21.59
171,Boras,SE,2021-08-08 21:07:25,57.721,12.9401,60.35,98,18,4.52
172,Bubaque,GW,2021-08-08 21:04:47,11.2833,-15.8333,80.33,76,100,12.08
173,Eureka,US,2021-08-08 21:07:25,40.8021,-124.1637,83.68,71,57,5.99
174,Kargil,IN,2021-08-08 21:07:26,34.5667,76.1,56.25,54,46,7.76
175,Varberg,SE,2021-08-08 21:07:26,57.1056,12.2508,65.05,88,78,15.77
176,Imperia,IT,2021-08-08 21:07:26,43.9667,7.7833,75.2,69,5,5.86
177,Bull Savanna,JM,2021-08-08 21:06:56,17.8868,-77.5902,84.06,62,15,5.01
178,Andilamena,MG,2021-08-08 21:07:27,-17.0167,48.5833,54.19,98,27,3.2
179,Bayir,TR,2021-08-08 21:07:27,37.2687,28.2167,79.32,40,0,5.55
180,Iqaluit,CA,2021-08-08 21:00:14,63.7506,-68.5145,41.95,93,100,8.48
181,Havelock,US,2021-08-08 21:04:08,34.8791,-76.9013,89.98,77,3,3.0
182,Mayo,US,2021-08-08 21:07:27,38.8876,-76.5119,94.08,65,1,4.0
183,Ribeira Grande,PT,2021-08-08 21:03:34,38.5167,-28.7,73.04,86,93,17.63
184,Springdale,US,2021-08-08 21:05:45,36.1867,-94.1288,91.18,60,40,17.27
185,Grand Gaube,MU,2021-08-08 21:07:28,-20.0064,57.6608,68.38,90,83,4.0
186,Pierre,US,2021-08-08 21:07:28,44.3683,-100.351,97.72,29,1,1.99
187,Matara,LK,2021-08-08 21:07:28,5.9485,80.5353,76.93,89,90,10.29
188,Mezhdurechensk,RU,2021-08-08 21:07:29,53.6942,88.0603,56.52,92,25,2.8
189,Solnechnyy,RU,2021-08-08 21:04:46,50.7214,136.6319,49.14,99,100,3.89
190,Clyde River,CA,2021-08-08 21:04:24,70.4692,-68.5914,47.91,54,100,10.45
191,College,US,2021-08-08 21:03:31,64.8569,-147.8028,63.0,82,100,4.18
192,Trinidad,BO,2021-08-08 21:07:29,-14.8333,-64.9,91.38,43,20,8.05
193,Henties Bay,NA,2021-08-08 21:05:19,-22.116,14.2845,53.85,92,26,5.53
194,Nome,US,2021-08-08 21:04:34,64.5011,-165.4064,57.27,72,90,19.57
195,Quatre Cocos,MU,2021-08-08 21:06:47,-20.2078,57.7625,68.09,86,95,20.09
196,Den Helder,NL,2021-08-08 21:07:30,52.9599,4.7593,64.08,90,75,20.71
197,Rocha,UY,2021-08-08 21:05:42,-34.4833,-54.3333,53.76,94,100,15.43
198,Kodiak,US,2021-08-08 21:03:55,57.79,-152.4072,58.51,77,75,6.91
199,Deputatskiy,RU,2021-08-08 21:03:29,69.3,139.9,59.16,59,55,2.98
200,Sinnamary,GF,2021-08-08 21:04:08,5.3833,-52.95,82.15,78,95,12.93
201,Valparaiso,CL,2021-08-08 21:04:11,-33.0393,-71.6273,53.98,72,52,4.99
202,Mackay,AU,2021-08-08 21:07:09,-21.15,149.2,64.04,74,5,11.05
203,Pangkalanbuun,ID,2021-08-08 21:07:30,-2.6833,111.6167,74.1,99,91,1.72
204,Santa Fe,AR,2021-08-08 21:07:31,-31.6333,-60.7,66.74,78,69,13.0
205,Mihai Bravu,RO,2021-08-08 21:07:31,44.1406,26.0628,79.9,41,1,6.26
206,Kuytun,RU,2021-08-08 21:07:31,54.3419,101.5036,51.42,57,54,2.33
207,Litovko,RU,2021-08-08 21:07:32,49.2361,135.1742,51.28,97,100,12.59
208,Santa Rosa,PH,2021-08-08 21:05:21,14.3122,121.1114,80.11,88,97,4.83
209,Amahai,ID,2021-08-08 21:07:32,-3.3333,128.9167,75.92,87,100,1.88
210,Westport,US,2021-08-08 21:02:18,41.1415,-73.3579,82.29,81,90,5.75
211,Sola,VU,2021-08-08 21:04:44,-13.8833,167.55,75.67,88,100,23.53
212,Belmonte,BR,2021-08-08 21:07:32,-15.8631,-38.8828,73.9,76,47,10.83
213,Tautira,PF,2021-08-08 21:06:20,-17.7333,-149.15,84.22,76,33,9.33
214,Barrow,US,2021-08-08 21:07:33,71.2906,-156.7887,39.22,90,90,9.22
215,Nova Ushytsya,UA,2021-08-08 21:07:33,48.8372,27.2743,66.67,65,0,3.2
216,Caucaia,BR,2021-08-08 21:07:33,-3.7361,-38.6531,80.55,73,75,13.8
217,Nikolskoye,RU,2021-08-08 21:04:13,59.7035,30.7861,64.29,95,99,4.41
218,Nha Trang,VN,2021-08-08 21:03:53,12.25,109.1833,82.4,85,69,5.03
219,Kabirwala,PK,2021-08-08 21:07:34,30.4068,71.8667,93.06,28,59,9.35
220,Airai,TL,2021-08-08 21:05:11,-8.9266,125.4092,53.89,88,28,1.66
221,Calceta,EC,2021-08-08 21:07:34,-0.85,-80.1667,85.24,57,63,9.91
222,Oistins,BB,2021-08-08 21:05:31,13.0667,-59.5333,84.29,70,20,21.85
223,Tigil,RU,2021-08-08 21:04:32,57.8,158.6667,52.79,71,29,6.58
224,Touros,BR,2021-08-08 21:04:27,-5.1989,-35.4608,77.9,76,46,17.18
225,Samarai,PG,2021-08-08 21:04:18,-10.6167,150.6667,77.5,78,98,13.71
226,Windhoek,NA,2021-08-08 21:07:35,-22.5594,17.0832,55.76,28,19,5.1
227,South Sioux City,US,2021-08-08 21:07:35,42.4739,-96.4136,88.95,69,1,8.05
228,Fortuna,US,2021-08-08 21:02:24,40.5982,-124.1573,92.48,88,90,11.5
229,Cayenne,GF,2021-08-08 21:00:05,4.9333,-52.3333,86.04,81,0,7.0
230,Carutapera,BR,2021-08-08 21:04:29,-1.195,-46.02,76.66,90,7,5.28
231,Bom Jesus,BR,2021-08-08 21:07:36,-9.0744,-44.3586,83.43,32,1,7.67
232,Yumen,CN,2021-08-08 21:04:10,40.2833,97.2,69.84,22,0,8.5
233,Kultuk,RU,2021-08-08 21:07:36,51.7208,103.6956,53.62,82,9,5.99
