City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
168,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Hotel Central
169,Terra Santa,BR,86.16,overcast clouds,-2.1042,-56.4869,Hotel Sarah
171,Marigot,MF,87.58,scattered clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
172,Mitsamiouli,KM,77.9,clear sky,-11.3847,43.2844,Foyer ADM
173,Buala,SB,79.79,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
174,Ewa Beach,US,76.95,few clouds,21.3156,-158.0072,Uncle Junior Robert
175,Rock Springs,US,78.24,clear sky,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
182,Qui Nhon,VN,82.29,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
186,Shimoda,JP,79.45,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
189,Aonla,IN,88.79,broken clouds,28.2833,79.15,MK Lawn
190,Mwinilunga,ZM,78.6,clear sky,-11.7358,24.4293,Kwakuwahi Lodge
191,Saint-Claude,FR,84.36,clear sky,46.5,5.8333,la berlie du jura
193,Kavaratti,IN,81.36,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
194,Labuan,MY,77.16,light rain,5.2767,115.2417,Tiara Labuan Hotel
198,Naze,JP,78.31,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
200,Cabo San Lucas,MX,88.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
207,Paraguacu,BR,81.12,scattered clouds,-21.5472,-45.7375,Matinada Palace Hotel
208,Santa Isabel Do Rio Negro,BR,78.91,overcast clouds,-0.4139,-65.0192,Hotel GSA
210,Veracruz,MX,79.86,few clouds,19.3333,-96.6667,El Carrizal
212,Natal,BR,88.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
224,Kutum,SD,81.19,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
227,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
232,Ambon,ID,78.33,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
234,Maneadero,MX,81.19,clear sky,31.7167,-116.5667,Casa De Thompson
236,Caranavi,BO,76.39,scattered clouds,-15.8167,-67.55,Hotel Landivar
238,Mattawa,US,78.1,clear sky,46.7379,-119.9028,Sun & Sand Mobile Home Park
239,Ribeira Grande,PT,79.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
242,Faanui,PF,77.99,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
247,Bambanglipuro,ID,76.3,broken clouds,-7.95,110.2833,Puri Brata
248,Faya,SA,81.12,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
249,Carutapera,BR,85.75,few clouds,-1.195,-46.02,Lidera
250,Vanimo,PG,78.39,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
251,Wanning,CN,82.09,overcast clouds,18.8003,110.3967,Paradise Hotel
254,Plonsk,PL,80.01,scattered clouds,52.6235,20.3755,Hotel Martex
255,Yangliuqing,CN,75.15,light rain,39.1375,116.9997,Thank U Express Tianjin Kaiyuan Road
