City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Caravelas,BR,-17.7125,-39.2481,78.01,54,10,8.08,clear sky
149,Hovd,MN,48.0056,91.6419,70.23,34,100,2.75,overcast clouds
150,Ancud,CL,-41.8697,-73.8203,47.43,73,100,4.18,overcast clouds
151,Presidente Epitacio,BR,-21.7633,-52.1156,83.86,33,2,5.75,clear sky
152,Tres Lagoas,BR,-20.7511,-51.6783,87.31,27,0,5.84,clear sky
153,Seoul,KR,37.5683,126.9778,74.71,71,0,3.58,clear sky
154,Sorland,NO,67.667,12.6934,51.87,75,12,23.15,few clouds
155,Jose Bonifacio,BR,-21.0528,-49.6883,91.76,20,7,1.3,clear sky
156,Aklavik,CA,68.2191,-135.0107,43.97,86,32,13.22,scattered clouds
157,Samarai,PG,-10.6167,150.6667,77.77,86,75,18.05,broken clouds
158,Ust-Kuyga,RU,70.0167,135.6,37.29,89,41,1.28,scattered clouds
159,Inirida,CO,3.8653,-67.9239,83.61,69,100,1.95,light rain
160,Shelburne,CA,44.0787,-80.2041,70.66,43,0,12.28,clear sky
161,Vilhena,BR,-12.7406,-60.1458,94.14,19,53,2.13,broken clouds
162,Certesti,RO,46.0167,27.6167,82.09,28,0,8.99,clear sky
163,Swinoujscie,PL,53.9105,14.2471,80.91,50,0,11.5,clear sky
164,Sarab,IR,38.6066,44.9883,82.99,29,74,14.23,broken clouds
165,Taoudenni,ML,22.6783,-3.9836,114.82,6,26,12.46,scattered clouds
166,Gizo,SB,-8.103,156.8419,81.82,81,100,12.77,overcast clouds
167,Pisco,PE,-13.7,-76.2167,62.65,88,90,4.61,mist
168,Victoria,HK,22.2855,114.1577,82.45,90,100,1.01,overcast clouds
169,Terra Santa,BR,-2.1042,-56.4869,86.16,60,100,3.13,overcast clouds
170,Erzin,TR,36.9559,36.2,90.12,62,0,7.9,clear sky
171,Marigot,MF,18.0667,-63.0833,87.58,72,40,13.8,scattered clouds
172,Mitsamiouli,KM,-11.3847,43.2844,77.9,77,2,15.35,clear sky
173,Buala,SB,-8.145,159.5921,79.79,85,95,9.84,overcast clouds
174,Ewa Beach,US,21.3156,-158.0072,76.95,77,20,5.75,few clouds
175,Rock Springs,US,41.5875,-109.2029,78.24,35,1,1.01,clear sky
176,Puerto Ayora,EC,-0.7393,-90.3518,71.49,74,93,7.11,overcast clouds
177,Batemans Bay,AU,-35.7167,150.1833,46.9,83,0,5.12,clear sky
178,Vardo,NO,70.3705,31.1107,50.23,84,81,2.95,broken clouds
179,Heihe,CN,50.2441,127.4902,59.94,81,0,3.31,clear sky
180,Cabo Rojo,PR,18.0866,-67.1457,92.37,71,66,12.37,broken clouds
181,Kaitangata,NZ,-46.2817,169.8464,46.38,74,96,13.67,overcast clouds
182,Qui Nhon,VN,13.7667,109.2333,82.29,72,100,5.17,overcast clouds
183,Wajima,JP,37.4,136.9,72.16,87,100,9.48,light rain
184,Bobrovka,RU,54.047,61.7455,70.25,34,6,5.44,clear sky
185,Leningradskiy,RU,69.3833,178.4167,40.8,86,100,22.08,overcast clouds
186,Shimoda,JP,34.6667,138.95,79.45,93,100,20.31,overcast clouds
187,Port Hardy,CA,50.6996,-127.4199,61.92,75,53,4.21,broken clouds
188,Waipawa,NZ,-41.4122,175.5153,38.03,85,13,5.28,few clouds
189,Aonla,IN,28.2833,79.15,88.79,56,67,3.78,broken clouds
190,Mwinilunga,ZM,-11.7358,24.4293,78.6,18,0,6.58,clear sky
191,Saint-Claude,FR,46.5,5.8333,84.36,62,0,4.59,clear sky
192,Uyuni,BO,-20.4597,-66.825,47.89,21,24,13.47,few clouds
193,Kavaratti,IN,10.5669,72.642,81.36,77,93,18.72,overcast clouds
194,Labuan,MY,5.2767,115.2417,77.16,79,100,5.91,light rain
195,Chuy,UY,-33.6971,-53.4616,56.97,92,100,6.58,overcast clouds
196,Inhambane,MZ,-23.865,35.3833,66.09,66,100,14.72,overcast clouds
197,Bowen,AU,-20.0167,148.2333,65.23,90,62,12.1,broken clouds
198,Naze,JP,28.3667,129.4833,78.31,88,100,14.54,overcast clouds
199,Geraldton,AU,-28.7667,114.6,48.61,93,0,8.05,clear sky
200,Cabo San Lucas,MX,22.8909,-109.9124,88.52,65,1,0.0,clear sky
201,Havre-Saint-Pierre,CA,50.2334,-63.5986,69.28,81,67,9.64,broken clouds
202,Pafos,CY,34.7667,32.4167,90.23,55,20,13.8,few clouds
203,Colares,PT,38.7992,-9.4469,92.39,45,20,13.8,few clouds
204,Karratha,AU,-20.7377,116.8463,70.39,40,47,7.67,scattered clouds
205,Baltasi,RU,56.3462,50.2062,63.82,79,100,3.8,light rain
206,La Ronge,CA,55.1001,-105.2842,74.48,43,46,5.97,scattered clouds
207,Paraguacu,BR,-21.5472,-45.7375,81.12,33,29,6.8,scattered clouds
208,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,78.91,73,100,4.72,overcast clouds
209,Wilmington,US,34.2257,-77.9447,90.99,69,1,0.0,clear sky
210,Veracruz,MX,19.3333,-96.6667,79.86,63,12,3.2,few clouds
211,Sitka,US,57.0531,-135.33,55.29,88,40,4.61,scattered clouds
212,Natal,BR,-5.795,-35.2094,88.45,42,20,11.5,few clouds
213,Ketchikan,US,55.3422,-131.6461,59.47,94,90,3.44,light rain
214,Umm Kaddadah,SD,13.6017,26.6876,81.99,58,100,22.39,overcast clouds
215,Helong,CN,42.5397,128.9972,55.33,98,16,3.24,few clouds
216,Ocos,GT,14.5094,-92.1933,90.73,79,75,1.61,broken clouds
217,Roros,NO,62.5747,11.3842,48.04,87,90,5.75,light rain
218,Lluta,PE,-16.0147,-72.0142,59.99,28,11,10.33,few clouds
219,Te Anau,NZ,-45.4167,167.7167,42.06,98,100,6.33,overcast clouds
220,Chokurdakh,RU,70.6333,147.9167,41.29,74,100,13.02,overcast clouds
221,Turukhansk,RU,65.8167,87.9833,51.26,86,46,0.81,scattered clouds
222,Varhaug,NO,58.6147,5.6457,62.15,78,53,17.4,broken clouds
223,Codrington,AU,-38.2667,141.9667,46.67,90,7,13.4,clear sky
224,Kutum,SD,14.2,24.6667,81.19,52,87,6.31,overcast clouds
225,Lakatoro,VU,-16.0999,167.4164,73.63,81,82,17.6,broken clouds
226,Iguape,BR,-24.7081,-47.5553,65.71,89,95,3.15,overcast clouds
227,San Cristobal,VE,7.7669,-72.225,78.98,92,100,4.0,overcast clouds
228,Saint-Augustin,CA,51.226,-58.6502,73.65,73,63,10.54,broken clouds
229,Mae Hong Son,TH,19.3003,97.9685,74.68,98,100,2.01,overcast clouds
230,Borzya,RU,50.3833,116.5167,57.06,86,7,5.75,clear sky
231,Namtsy,RU,62.7161,129.6658,62.71,69,43,1.63,scattered clouds
232,Ambon,ID,-3.6954,128.1814,78.33,85,57,11.03,broken clouds
233,Thompson,CA,55.7435,-97.8558,71.19,47,100,7.63,overcast clouds
234,Maneadero,MX,31.7167,-116.5667,81.19,80,3,1.99,clear sky
235,Oksbol,DK,55.6268,8.2876,65.01,74,17,22.86,few clouds
236,Caranavi,BO,-15.8167,-67.55,76.39,42,41,3.94,scattered clouds
237,Ochamchira,GE,42.7121,41.4721,72.61,87,99,4.99,overcast clouds
238,Mattawa,US,46.7379,-119.9028,78.1,27,1,7.16,clear sky
239,Ribeira Grande,PT,38.5167,-28.7,79.2,73,20,3.44,few clouds
240,Narsaq,GL,60.9167,-46.05,52.02,76,100,2.13,overcast clouds
241,Diamantino,BR,-14.4086,-56.4461,93.18,23,20,5.99,few clouds
242,Faanui,PF,-16.4833,-151.75,77.99,74,5,5.79,clear sky
243,Nobres,BR,-14.7203,-56.3275,93.34,23,13,4.63,few clouds
244,Castro,BR,-24.7911,-50.0119,59.99,78,90,6.4,moderate rain
245,Tairua,NZ,-37.0167,175.85,49.08,72,5,9.8,clear sky
246,Lompoc,US,34.6391,-120.4579,62.91,97,90,0.0,mist
247,Bambanglipuro,ID,-7.95,110.2833,76.3,87,65,5.61,broken clouds
248,Faya,SA,18.3851,42.4509,81.12,27,65,12.17,broken clouds
249,Carutapera,BR,-1.195,-46.02,85.75,61,21,9.24,few clouds
250,Vanimo,PG,-2.6741,141.3028,78.39,89,93,6.69,overcast clouds
251,Wanning,CN,18.8003,110.3967,82.09,88,100,9.17,overcast clouds
252,Paarl,ZA,-33.7338,18.9752,53.78,64,0,5.17,clear sky
253,Moron,AR,-34.6534,-58.6198,63.0,76,0,2.33,clear sky
254,Plonsk,PL,52.6235,20.3755,80.01,46,36,10.54,scattered clouds
255,Yangliuqing,CN,39.1375,116.9997,75.15,79,19,6.04,light rain
256,Ugento,IT,39.9263,18.1574,90.46,57,0,3.67,clear sky
257,Clyde River,CA,70.4692,-68.5914,41.23,93,90,6.91,mist
258,Arroio Grande,BR,-32.2375,-53.0869,61.97,76,100,4.12,overcast clouds
259,Rio Grande,BR,-32.035,-52.0986,62.94,87,98,11.25,overcast clouds
260,Umtata,ZA,-31.5889,28.7844,49.24,78,100,6.22,overcast clouds
261,Vesyegonsk,RU,58.664,37.2604,68.0,63,100,6.78,overcast clouds
262,Esperance,AU,-33.8667,121.9,49.84,79,33,8.3,scattered clouds
263,Linxi,CN,39.7,118.4333,67.41,85,24,0.6,few clouds
264,Saldanha,ZA,-33.0117,17.9442,56.21,69,0,13.73,clear sky
265,Hanyang,CN,32.1371,105.5126,68.32,90,40,1.7,scattered clouds
266,Jacareacanga,BR,-6.2222,-57.7528,93.81,44,100,2.15,overcast clouds
267,Burnie,AU,-41.0667,145.9167,52.48,84,87,17.58,moderate rain
268,Matara,LK,5.9485,80.5353,78.85,84,93,12.8,overcast clouds
269,College,US,64.8569,-147.8028,49.98,90,90,4.61,overcast clouds
270,Merauke,ID,-8.4667,140.3333,77.16,87,90,15.12,overcast clouds
271,Margate,GB,51.3813,1.3862,76.1,56,52,7.58,broken clouds
272,Slave Lake,CA,55.2834,-114.769,78.78,38,1,14.97,clear sky
273,Kurchum,KZ,48.5722,83.6542,63.1,63,100,9.13,light rain
274,Omsukchan,RU,62.5333,155.8,54.7,87,88,8.59,overcast clouds
275,Zhaoqing,CN,23.0512,112.4597,78.15,94,100,2.3,overcast clouds
276,San Patricio,US,28.017,-97.5169,92.01,55,29,4.38,scattered clouds
277,Kolarovo,SK,47.9229,17.9847,89.85,31,16,8.79,few clouds
278,Lac Du Bonnet,CA,50.2536,-96.0612,76.64,30,53,9.35,broken clouds
279,Willowmore,ZA,-33.2926,23.4895,51.67,57,71,7.36,broken clouds
280,Garden City,US,42.3256,-83.331,76.14,41,20,1.99,few clouds
281,Banjar,ID,-8.19,114.9675,78.66,90,9,4.25,clear sky
282,Miraflores,MX,19.2167,-98.8083,68.76,79,93,3.4,overcast clouds
283,Yagodnoye,RU,62.55,149.6667,58.68,64,64,4.81,broken clouds
284,Sabang,ID,5.8933,95.3214,81.16,77,100,25.14,light rain
285,Dumaguil,PH,6.62,124.6533,74.57,92,58,0.34,broken clouds
286,Jiangyou,CN,31.7667,104.7167,72.46,91,86,1.5,overcast clouds
287,Elliot Lake,CA,46.3834,-82.6331,64.98,40,1,8.68,clear sky
288,Nouadhibou,MR,20.931,-17.0347,73.99,86,0,1.83,clear sky
289,Boguchany,RU,58.3814,97.4531,60.62,99,100,4.74,moderate rain
290,Okhotsk,RU,59.3833,143.3,55.38,94,5,3.2,clear sky
291,Itacare,BR,-14.2775,-38.9967,76.23,67,22,9.84,few clouds
292,Touros,BR,-5.1989,-35.4608,88.7,51,37,19.93,scattered clouds
293,Prince Rupert,CA,54.3161,-130.3201,57.87,95,100,1.99,overcast clouds
294,Akdepe,TM,42.0551,59.3788,78.8,28,0,15.37,clear sky
295,Ilulissat,GL,69.2167,-51.1,48.22,93,75,1.14,broken clouds
296,Lavrentiya,RU,65.5833,-171.0,45.23,97,100,6.22,overcast clouds
297,Bonthe,SL,7.5264,-12.505,78.91,74,100,11.92,overcast clouds
298,East London,ZA,-33.0153,27.9116,60.26,66,99,13.94,overcast clouds
